x_m,y_m,width_left_m,width_right_m,vx_mps
-54.4431453,22.869902,1.2301515,0.9072057,14.5953576
-54.4862468,22.9601035,1.2289679,0.9115727,14.6023981
-54.5293594,23.0503002,1.2278036,0.915649,14.609407
-54.5724845,23.1404915,1.2266394,0.9197253,14.6163845
-54.6156238,23.2306766,1.2254751,0.9238016,14.6233307
-54.6587785,23.3208548,1.2243108,0.927878,14.6302457
-54.7019504,23.4110254,1.2231465,0.9319543,14.6371298
-54.7451407,23.5011877,1.2219822,0.9360306,14.643983
-54.788351,23.591341,1.220818,0.940107,14.6508056
-54.8315829,23.6814845,1.2196537,0.9441833,14.6575977
-54.8748376,23.7716175,1.2184894,0.9482596,14.6643594
-54.9181145,23.8617346,1.2173457,0.948624,14.671091
-54.9614173,23.95184,1.2162084,0.9478419,14.6777924
-55.0047471,24.0419329,1.215071,0.9470598,14.684464
-55.0481054,24.1320128,1.2139337,0.9462777,14.6911057
-55.0914934,24.222079,1.2127963,0.9454956,14.6977179
-55.1349126,24.3121308,1.211659,0.9447135,14.7043006
-55.1783642,24.4021676,1.2105216,0.9439314,14.710854
-55.2218495,24.4921887,1.2093843,0.9431493,14.7173782
-55.2653699,24.5821936,1.2082469,0.9423672,14.7238733
-55.3089265,24.6721813,1.2071096,0.9415851,14.7303396
-55.3525185,24.7621464,1.2042749,0.9412809,14.7367772
-55.3961495,24.8520933,1.2008451,0.9411443,14.7431861
-55.4398206,24.9420214,1.1974153,0.9410077,14.7495665
-55.4835331,25.03193,1.1939855,0.940871,14.7559187
-55.5272882,25.1218185,1.1905557,0.9407344,14.7622426
-55.5710872,25.2116862,1.1871259,0.9405978,14.7685385
-55.6149313,25.3015326,1.1836961,0.9404611,14.7748065
-55.6588217,25.3913569,1.1802663,0.9403245,14.7810467
-55.7027596,25.4811586,1.1768365,0.9401879,14.7872593
-55.7467462,25.5709367,1.1734067,0.9400512,14.7934444
-55.7907807,25.6606867,1.1705111,0.9444566,14.7996021
-55.8348663,25.7504121,1.1678266,0.9506563,14.8057325
-55.8790045,25.8401122,1.165142,0.956856,14.8118359
-55.9231963,25.9297864,1.1624574,0.9630557,14.8179123
-55.9674431,26.019434,1.1597728,0.9692555,14.8239619
-56.011746,26.1090543,1.1570883,0.9754552,14.8299847
-56.0561063,26.1986467,1.1544037,0.9816549,14.835981
-56.1005253,26.2882105,1.1517191,0.9878546,14.8419508
-56.1450041,26.377745,1.1490346,0.9940543,14.8478943
-56.1895439,26.4672494,1.14635,1.000254,14.8538116
-56.2341445,26.5567202,1.1435188,1.0047853,14.8597028
-56.2788087,26.6461596,1.1406228,1.0085782,14.8655681
-56.3235376,26.7355671,1.1377267,1.0123712,14.8714076
-56.3683325,26.8249418,1.1348307,1.0161641,14.8772214
-56.4131946,26.9142832,1.1319346,1.019957,14.8830096
-56.4581251,27.0035905,1.1290386,1.0237499,14.8887723
-56.5031251,27.092863,1.1261425,1.0275428,14.8945098
-56.5481961,27.1820999,1.1232465,1.0313357,14.900222
-56.593339,27.2713008,1.1203504,1.0351287,14.9059092
-56.6385552,27.3604646,1.1174544,1.0389216,14.9115714
-56.6838452,27.4495894,1.1129774,1.0403271,14.9172087
-56.7292108,27.5386759,1.1077204,1.0405548,14.9228214
-56.7746532,27.6277233,1.1024634,1.0407825,14.9284094
-56.8201738,27.716731,1.0972064,1.0410102,14.933973
-56.8657736,27.8056982,1.0919494,1.0412378,14.9395122
-56.9114539,27.8946242,1.0866924,1.0414655,14.9450271
-56.9572158,27.9835082,1.0814354,1.0416932,14.9505179
-57.0030607,28.0723495,1.0761785,1.0419208,14.9559847
-57.0489895,28.1611474,1.0709215,1.0421485,14.9614276
-57.0950037,28.2499012,1.0656645,1.0423762,14.9668467
-57.1411044,28.3386103,1.0603434,1.0473288,14.9722421
-57.1872928,28.4272738,1.0549873,1.0548705,14.9776139
-57.23357,28.5158909,1.0496312,1.0624121,14.9829623
-57.2799372,28.6044609,1.0442751,1.0699537,14.9882874
-57.3263956,28.6929829,1.038919,1.0774954,14.9935892
-57.3729463,28.7814562,1.0335629,1.085037,14.9988679
-57.4195905,28.86988,1.0282068,1.0925787,15
-57.4663294,28.9582536,1.0228507,1.1001203,15
-57.5131643,29.0465762,1.0174946,1.107662,15
-57.5600962,29.1348472,1.0121385,1.1152036,15
-57.6071274,29.2230676,1.006439,1.1240781,15
-57.654258,29.3112346,1.0005312,1.1337612,15
-57.7014891,29.3993475,0.9946233,1.1434442,15
-57.748822,29.4874055,0.9887155,1.1531273,15
-57.7962577,29.5754077,0.9828076,1.1628104,15
-57.8437974,29.6633534,0.9768998,1.1724934,15
-57.8914423,29.7512418,0.970992,1.1821765,15
-57.9391935,29.839072,0.9650841,1.1918596,15
-57.9870521,29.9268432,0.9591763,1.2015426,15
-58.0350195,30.0145549,0.9532684,1.2112257,15
-58.0830986,30.1022095,0.9461029,1.2172283,15
-58.1312886,30.1898027,0.9380947,1.2207652,15
-58.1795907,30.2773336,0.9300865,1.2243021,15
-58.2280059,30.3648015,0.9220783,1.227839,15
-58.2765354,30.4522054,0.9140701,1.2313758,15
-58.3251803,30.5395445,0.9060619,1.2349127,15
-58.3739417,30.626818,0.8980537,1.2384496,15
-58.4228208,30.714025,0.8900455,1.2419865,15
-58.4718186,30.8011647,0.8820374,1.2455234,15
-58.5209366,30.8882365,0.8740292,1.2490603,15
-58.5701782,30.9752441,0.8664553,1.2545405,15
-58.619542,31.0621817,0.8592021,1.2614558,15
-58.669029,31.1490486,0.8519489,1.2683712,15
-58.7186403,31.2358438,0.8446957,1.2752865,15
-58.7683772,31.3225664,0.8374426,1.2822018,15
-58.8182406,31.4092155,0.8301894,1.2891172,15
-58.8682316,31.4957902,0.8229362,1.2960325,15
-58.9183515,31.5822897,0.815683,1.3029478,15
-58.9686012,31.668713,0.8084298,1.3098632,15
-59.0189822,31.7550596,0.8011767,1.3167785,15
-59.0694984,31.8413338,0.7952871,1.3225187,15
-59.1201477,31.9275291,0.7905059,1.3273036,15
-59.1709311,32.0136447,0.7857248,1.3320886,15
-59.2218494,32.0996798,0.7809436,1.3368736,15
-59.2729037,32.1856334,0.7761624,1.3416585,15
-59.3240949,32.2715047,0.7713813,1.3464435,15
-59.3754239,32.3572928,0.7666001,1.3512284,15
-59.4268918,32.4429968,0.7618189,1.3560134,15
-59.4784994,32.5286158,0.7570378,1.3607984,15
-59.5302481,32.6141494,0.7522566,1.3655833,15
-59.5821418,32.699602,0.7503611,1.3702765,15
-59.634178,32.784967,0.751045,1.3748876,15
-59.6863574,32.8702437,0.7517288,1.3794988,15
-59.7386808,32.9554313,0.7524127,1.3841099,15
-59.791149,33.0405291,0.7530965,1.388721,15
-59.8437628,33.1255361,0.7537804,1.3933322,15
-59.8965229,33.2104516,0.7544642,1.3979433,15
-59.9494301,33.2952748,0.7551481,1.4025544,15
-60.0024851,33.380005,0.755832,1.4071655,15
-60.0556889,33.4646415,0.7565158,1.4117767,15
-60.1090449,33.5491876,0.7583193,1.4120989,15
-60.1625514,33.6336378,0.7612226,1.4082073,15
-60.2162097,33.717991,0.764126,1.4043158,15
-60.2700208,33.8022463,0.7670293,1.4004243,15
-60.323986,33.8864025,0.7699327,1.3965327,15
-60.3781064,33.9704584,0.7728361,1.3926412,15
-60.432383,34.054413,0.7757394,1.3887497,15
-60.4868172,34.1382652,0.7786428,1.3848582,15
-60.54141,34.2220139,0.7815462,1.3809666,15
-60.5961626,34.3056581,0.7844495,1.3770751,15
-60.6510773,34.3891982,0.7864861,1.3760199,15
-60.7061539,34.4726314,0.7875867,1.3780271,15
-60.7613937,34.5559566,0.7886873,1.3800344,15
-60.8167976,34.6391725,0.7897878,1.3820417,15
-60.8723669,34.722278,0.7908884,1.3840489,15
-60.9281025,34.805272,0.791989,1.3860562,15
-60.9840056,34.8881532,0.7930896,1.3880635,15
-61.0400773,34.9709205,0.7941902,1.3900707,15
-61.0963186,35.0535727,0.7952908,1.392078,15
-61.1527306,35.1361085,0.7963914,1.3940853,15
-61.2093137,35.2185257,0.7955791,1.3935278,15
-61.2660696,35.3008243,0.7924959,1.3899257,15
-61.3229994,35.3830029,0.7894127,1.3863237,15
-61.3801041,35.4650604,0.7863295,1.3827216,15
-61.4373849,35.5469954,0.7832463,1.3791196,15
-61.4948427,35.6288068,0.7801631,1.3755175,15
-61.5524785,35.7104932,0.7770799,1.3719155,15
-61.6102935,35.7920535,0.7739967,1.3683134,15
-61.6682886,35.8734863,0.7709135,1.3647114,15
-61.7264647,35.9547901,0.7678303,1.3611093,15
-61.78482,36.0359601,0.7653882,1.3592795,15
-61.843358,36.1169991,0.7637836,1.3597643,15
-61.9020793,36.1979062,0.762179,1.3602491,15
-61.9609844,36.2786804,0.7605744,1.3607339,15
-62.0200738,36.3593207,0.7589698,1.3612187,15
-62.0793482,36.439826,0.7573651,1.3617036,15
-62.1388079,36.5201953,0.7557605,1.3621884,15
-62.1984537,36.6004277,0.7541559,1.3626732,15
-62.2582859,36.680522,0.7525513,1.363158,15
